simulation,selected_players,jaccard,tsf_optimum,tsf_baseline_reference,delta_tsf,tsf_baseline_perturbed,regret,orbit_open
36,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4556230334518422,0.4556941843506398,-7.115089879761172e-05,0.4556230334518422,0.0,1
37,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45346445641763433,0.4556941843506398,-0.0022297279330054653,0.45346445641763433,0.0,1
38,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45699586802304903,0.4556941843506398,0.0013016836724092373,0.45699586802304903,0.0,1
39,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45565453687786617,0.4556941843506398,-3.9647472773629566e-05,0.45565453687786617,0.0,1
40,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4552790821975231,0.4556941843506398,-0.0004151021531166865,0.4552790821975231,0.0,1
41,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45642161586588437,0.4556941843506398,0.0007274315152445698,0.45642161586588437,0.0,1
42,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4563673604021835,0.4556941843506398,0.0006731760515437113,0.4563673604021835,0.0,1
43,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45597207353074565,0.4556941843506398,0.0002778891801058503,0.45597207353074565,0.0,1
44,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45401438093487156,0.4556941843506398,-0.0016798034157682329,0.45401438093487156,0.0,1
45,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45546723596180394,0.4556941843506398,-0.000226948388835857,0.45546723596180394,0.0,1
46,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.456469797829092,0.4556941843506398,0.0007756134784522306,0.456469797829092,0.0,1
47,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4540118295741642,0.4556941843506398,-0.001682354776475603,0.4540118295741642,0.0,1
