player,criterion,T,I,F
P14,C5,0.268674332,0.015000000,0.731325668
P14,C6,0.616726348,0.015000000,0.383273652
P14,C7,0.410653571,0.015000000,0.589346429
P14,C8,0.500000000,1.000000000,0.500000000
P14,C9,0.500000000,1.000000000,0.500000000
P14,C10,0.566530963,0.015000000,0.433469037
P14,C11,0.609411974,0.015000000,0.390588026
P14,C12,0.448844884,0.507500000,0.551155116
P15,C1,0.451851852,0.160000000,0.548148148
P15,C2,0.101879327,0.160000000,0.898120673
P15,C3,1.000000000,0.160000000,0.000000000
P15,C4,0.310000000,0.160000000,0.690000000
P15,C5,0.327700973,0.160000000,0.672299027
P15,C6,0.630108005,0.160000000,0.369891995
P15,C7,1.000000000,0.160000000,0.000000000
P15,C8,0.500000000,1.000000000,0.500000000
P15,C9,0.500000000,1.000000000,0.500000000
P15,C10,0.493001555,0.160000000,0.506998445
P15,C11,0.362962963,0.160000000,0.637037037
P15,C12,0.353135314,0.580000000,0.646864686
P16,C1,0.766666667,0.600000000,0.233333333
P16,C2,0.418528391,0.600000000,0.581471609
P16,C3,0.467710939,0.600000000,0.532289061
P16,C4,0.333000000,0.600000000,0.667000000
P16,C5,0.518645608,0.600000000,0.481354392
P16,C6,0.712264952,0.600000000,0.287735048
P16,C7,0.896260261,0.600000000,0.103739739
P16,C8,0.500000000,1.000000000,0.500000000
P16,C9,0.500000000,1.000000000,0.500000000
P16,C10,0.750975774,0.600000000,0.249024226
P16,C11,0.568123235,0.600000000,0.431876765
P16,C12,0.062706271,0.800000000,0.937293729
P17,C1,0.000000000,0.000000000,1.000000000
P17,C2,0.459176975,0.000000000,0.540823025
P17,C3,0.064705251,0.000000000,0.935294749
P17,C4,0.529000000,0.000000000,0.471000000
P17,C5,0.199488124,0.000000000,0.800511876
P17,C6,0.096853421,0.000000000,0.903146579
P17,C7,0.445888208,0.000000000,0.554111792
P17,C8,0.500000000,1.000000000,0.500000000
P17,C9,0.500000000,1.000000000,0.500000000
P17,C10,0.158154432,0.000000000,0.841845568
P17,C11,0.581400535,0.000000000,0.418599465
P17,C12,0.801980198,0.500000000,0.198019802
P18,C1,0.733333333,0.990000000,0.266666667
P18,C2,1.000000000,0.990000000,0.000000000
P18,C3,0.697183099,0.990000000,0.302816901
P18,C4,0.500000000,1.000000000,0.500000000
P18,C5,0.000000000,0.990000000,1.000000000
P18,C6,0.800955414,0.990000000,0.199044586
P18,C7,0.146853147,0.990000000,0.853146853
P18,C8,0.500000000,1.000000000,0.500000000
P18,C9,0.500000000,1.000000000,0.500000000
P18,C10,0.864748666,0.990000000,0.135251334
P18,C11,0.933333333,0.990000000,0.066666667
P18,C12,0.000000000,0.995000000,1.000000000
P19,C1,0.485185185,0.805000000,0.514814815
P19,C2,0.520643199,0.805000000,0.479356801
P19,C3,0.111042483,0.805000000,0.888957517
P19,C4,0.333000000,0.805000000,0.667000000
P19,C5,0.504468506,0.805000000,0.495531494
P19,C6,0.280724721,0.805000000,0.719275279
P19,C7,0.521926234,0.805000000,0.478073766
P19,C8,0.500000000,1.000000000,0.500000000
P19,C9,0.500000000,1.000000000,0.500000000
P19,C10,0.238690155,0.805000000,0.761309845
P19,C11,0.761778695,0.805000000,0.238221305
P19,C12,0.000000000,0.902500000,1.000000000
P20,C1,0.837037037,0.000000000,0.162962963
P20,C2,0.503175459,0.000000000,0.496824541
P20,C3,0.156215510,0.000000000,0.843784490
P20,C4,0.259000000,0.000000000,0.741000000
P20,C5,0.353242576,0.000000000,0.646757424
P20,C6,0.809484515,0.000000000,0.190515485
P20,C7,0.255677433,0.000000000,0.744322567
P20,C8,0.500000000,1.000000000,0.500000000
P20,C9,0.500000000,1.000000000,0.500000000
P20,C10,0.639083783,0.000000000,0.360916217
P20,C11,0.803628984,0.000000000,0.196371016
P20,C12,0.613861386,0.500000000,0.386138614
